date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,actual_snow,average_snow,snow_depth,sea_pressure,wind_speed,max_wind_speed,max_gust_speed,visibility
2015-3-7,-2,-8,3,1,8,-13,23,1890,1946,0.00,3.30,4.75,0.00,0.51,45.72,1022,8,26,39,16
2015-3-8,6,3,9,1,8,-13,24,1883,1987,0.00,3.56,4.52,0.00,0.51,40.64,1018,8,32,48,16
2015-3-9,8,4,12,1,8,-11,25,1996,2016,0.25,3.30,4.62,0.00,0.51,33.02,1021,8,26,40,16
2015-3-10,8,4,12,1,9,-11,26,1929,2016,11.68,3.30,4.11,0.00,0.25,27.94,1022,6,19,27,9
2015-3-11,11,7,15,1,9,-10,22,1960,1977,0.25,3.30,7.47,0.00,0.51,15.24,1015,11,23,35,11
2015-3-12,6,2,8,1,9,-13,21,1888,1890,0.00,3.30,5.92,0.00,0.25,10.16,1029,13,32,53,16
2015-3-13,3,-1,6,1,9,-14,29,1888,1990,0.00,3.05,9.80,0.00,0.51,5.08,1034,10,21,31,16
2015-3-14,8,4,11,2,9,-11,23,1888,1946,20.57,3.56,5.00,0.00,0.25,0.00,1016,9,24,35,9
2015-3-15,4,2,7,2,9,-10,25,1993,1990,0.00,3.56,4.60,0.00,0.25,0.00,1009,18,37,66,16
2015-3-16,7,2,11,2,10,-10,27,1911,1990,0.00,3.56,5.16,0.00,0.25,0.00,1013,6,21,32,16
2015-3-17,8,1,14,2,10,-12,23,1916,1945,0.51,3.81,3.61,0.00,0.25,0.00,1005,16,39,69,15
2015-3-18,1,-2,4,2,10,-13,25,1916,1989,0.00,3.56,7.87,0.00,0.25,0.00,1017,15,32,56,16
2015-3-19,2,-2,6,2,11,-13,24,1967,1918,0.00,3.81,5.56,0.00,0.25,0.00,1025,9,23,35,16
2015-3-20,1,-2,3,2,11,-11,28,1885,1945,10.16,3.81,4.90,11.43,0.25,0.00,1024,13,27,35,7
2015-3-21,3,-2,8,3,11,-12,28,1885,1921,0.0,3.81,6.02,0.0,0.25,12.70,1017,9,26,43,8
2015-3-22,2,-2,6,3,11,-11,25,1885,2012,0.00,3.81,8.74,0.00,0.25,0.00,1017,12,29,48,16
2015-3-23,-1,-5,3,3,11,-11,24,1875,1923,0.00,4.06,4.06,0.00,0.25,0.00,1023,11,26,43,16
